"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/04/2017","14:10","04.1","028","05.0","13.2","N/A","1025.9","2.13","0.76","0.88","0.67","15.06"
"04/04/2017","14:15","03.5","024","03.9","13.2","N/A","1025.9","2.18","0.65","0.75","0.71","17.07"
"04/04/2017","14:20","03.8","029","04.5","13.1","N/A","1025.8","2.21","0.64","0.69","0.71","17.07"
"04/04/2017","14:25","04.6","026","05.5","13.2","N/A","1026.1","2.24","0.72","0.76","0.71","17.07"
"04/04/2017","14:30","05.0","020","05.8","13.2","N/A","1025.8","2.25","0.59","0.68","0.68","17.07"
"04/04/2017","14:35","06.4","024","07.8","13.1","N/A","1025.9","2.33","0.72","0.76","0.68","17.07"
"04/04/2017","14:40","07.0","026","07.9","13.3","N/A","1025.9","2.37","0.75","0.83","0.68","17.07"
"04/04/2017","14:45","07.1","023","08.3","13.1","N/A","1025.8","2.42","0.81","0.89","0.80","15.06"
"04/04/2017","14:50","07.1","009","08.8","13.2","N/A","1025.9","2.47","0.83","0.94","0.80","15.06"
"04/04/2017","14:55","06.6","001","08.8","13.3","N/A","1025.9","2.56","0.73","0.85","0.80","15.06"
"04/04/2017","15:00","07.1","357","09.0","13.4","N/A","1025.9","2.54","0.82","0.90","0.88","17.07"
"04/04/2017","15:05","07.7","353","09.4","13.5","N/A","1026.1","2.61","0.64","0.67","0.88","17.07"
"04/04/2017","15:10","07.1","001","08.6","13.6","N/A","1026.1","2.67","0.63","0.70","0.88","17.07"
"04/04/2017","15:15","07.1","006","08.8","13.6","N/A","1025.9","2.72","0.80","0.87","0.75","13.48"
"04/04/2017","15:20","05.5","021","06.7","13.8","N/A","1025.9","2.75","0.79","0.88","0.75","13.48"
"04/04/2017","15:25","04.6","023","05.3","13.6","N/A","1025.7","2.83","0.77","0.85","0.75","13.48"
"04/04/2017","15:30","05.6","027","07.3","13.7","N/A","1025.7","2.89","0.65","0.76","0.79","17.07"
"04/04/2017","15:35","06.1","036","07.2","13.8","N/A","1025.9","2.87","0.89","1.00","0.79","17.07"
"04/04/2017","15:40","04.2","034","05.6","13.9","N/A","1025.9","3.00","0.78","0.79","0.79","17.07"
"04/04/2017","15:45","03.0","018","03.8","13.9","N/A","1025.7","3.02","0.74","0.84","0.88","17.07"
"04/04/2017","15:50","02.5","025","03.0","14.2","N/A","1025.9","3.09","0.88","0.96","0.88","17.07"
"04/04/2017","15:55","02.9","021","04.3","14.2","N/A","1025.7","3.13","0.91","0.99","0.88","17.07"
"04/04/2017","16:00","02.7","022","03.3","14.3","N/A","1025.7","3.21","0.88","0.90","0.95","17.07"
"04/04/2017","16:05","02.3","022","03.5","14.2","N/A","1025.9","3.24","0.91","1.00","0.95","17.07"
"04/04/2017","16:10","02.8","033","03.8","14.0","N/A","1025.9","3.32","0.77","0.83","0.95","17.07"
"04/04/2017","16:15","02.7","026","03.7","14.0","N/A","1025.7","3.39","0.88","1.02","0.96","17.07"
"04/04/2017","16:20","02.7","020","03.7","13.9","N/A","1025.9","3.43","0.87","0.90","0.96","17.07"
"04/04/2017","16:25","03.8","021","05.9","14.1","N/A","1025.8","3.45","0.77","0.87","0.96","17.07"
